Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,79.00,79.92,78.21,79.03,79.03,"926,800"
2022-08-02,79.47,80.07,78.36,79.64,79.64,"969,700"
2022-08-03,79.76,84.50,79.63,84.50,84.50,"1,901,400"
2022-08-04,84.63,87.91,84.61,87.08,87.08,"2,287,600"
2022-08-05,87.10,87.10,84.96,85.57,85.57,"977,300"
2022-08-08,86.17,87.59,84.51,84.57,84.57,"1,297,400"
2022-08-09,85.15,85.84,81.51,82.50,82.50,"1,403,300"
2022-08-10,83.49,87.00,83.35,86.40,86.40,"1,462,800"
2022-08-11,87.50,87.59,83.53,83.97,83.97,"1,873,500"
2022-08-12,87.20,90.69,85.80,89.75,89.75,"2,155,000"
2022-08-15,88.82,89.75,87.51,89.41,89.41,"1,611,500"
2022-08-16,90.01,90.09,86.83,87.85,87.85,"1,110,700"
2022-08-17,87.36,90.49,86.57,88.73,88.73,"728,500"
2022-08-18,88.84,90.09,87.72,89.36,89.36,"1,316,700"
2022-08-19,89.39,89.84,87.73,88.79,88.79,"1,154,800"
2022-08-22,88.50,89.43,87.68,88.39,88.39,"680,700"
2022-08-23,88.46,89.37,88.08,88.77,88.77,"602,000"
2022-08-24,88.99,91.87,88.94,90.96,90.96,"967,700"
2022-08-25,91.39,92.40,90.13,90.90,90.90,"733,700"
2022-08-26,91.40,92.18,90.22,90.50,90.50,"496,300"
2022-08-29,90.15,92.50,89.60,91.80,91.80,"718,200"
2022-08-30,91.85,93.07,91.16,92.18,92.18,"782,600"
2022-08-31,92.69,93.59,92.03,92.40,92.40,"954,900"
2022-09-01,93.70,95.36,92.38,93.90,93.90,"1,385,200"
2022-09-02,94.87,95.12,92.24,92.87,92.87,"2,525,200"
2022-09-05,93.09,94.17,92.59,93.31,93.31,"676,600"
2022-09-06,92.99,93.15,90.38,91.66,91.66,"1,289,700"
2022-09-08,92.11,93.42,91.07,92.25,92.25,"1,072,000"
2022-09-09,93.31,94.38,92.50,93.15,93.15,"701,700"
2022-09-12,93.75,96.00,93.72,94.69,94.69,"1,134,200"
2022-09-13,93.59,94.31,92.51,94.00,94.00,"905,800"
2022-09-14,94.01,95.19,93.10,94.70,94.70,"787,900"
2022-09-15,94.58,95.09,93.68,94.56,94.56,"894,600"
2022-09-16,93.71,94.76,92.71,94.75,94.75,"1,388,400"
2022-09-19,94.20,98.22,94.20,97.42,97.42,"1,431,800"
2022-09-20,97.55,98.51,96.99,98.00,98.00,"1,058,800"
2022-09-21,98.19,100.18,97.40,99.20,99.20,"1,066,200"
2022-09-22,100.10,101.53,99.01,100.85,100.85,"1,164,100"
2022-09-23,99.25,100.30,98.22,99.78,99.78,"1,470,100"
2022-09-26,99.89,99.93,96.46,96.77,96.77,"752,300"
2022-09-27,96.66,97.52,96.28,96.50,96.50,"1,744,300"
2022-09-28,96.57,97.77,95.01,96.75,96.75,"1,157,000"
2022-09-29,95.92,96.72,94.78,96.45,96.45,"1,161,000"
